%Source,CH1,CH2
%Second,Volt,Volt
-0.02047999948,-0.05600,-4.87200
-0.02047800086,-0.11200,-4.87200
-0.02047600038,-0.22400,-4.81600
-0.02047399990,-0.28000,-4.81600
-0.02047199942,-0.39200,-4.81600
-0.02047000080,-0.39200,-4.76000
-0.02046800032,-0.44800,-4.76000
-0.02046599984,-0.56000,-4.76000
-0.02046399936,-0.67200,-4.76000
-0.02046200074,-0.67200,-4.64800
-0.02046000026,-0.78400,-4.64800
-0.02045799978,-0.84000,-4.59200
-0.02045599930,-0.95200,-4.64800
-0.02045400068,-1.00800,-4.59200
-0.02045200020,-1.00800,-4.59200
-0.02044999972,-1.12000,-4.48000
-0.02044799924,-1.17600,-4.48000
-0.02044600062,-1.23200,-4.48000
-0.02044400014,-1.34400,-4.42400
-0.02044199966,-1.34400,-4.42400
-0.02043999918,-1.40000,-4.31200
-0.02043800056,-1.51200,-4.31200
-0.02043600008,-1.51200,-4.42400
-0.02043399960,-1.68000,-4.25600
-0.02043199912,-1.68000,-4.25600
-0.02043000050,-1.79200,-4.25600
-0.02042800002,-1.79200,-4.25600
-0.02042599954,-1.79200,-4.14400
-0.02042399906,-1.96000,-4.14400
-0.02042200044,-2.07200,-4.08800
-0.02041999996,-2.12800,-4.08800
-0.02041799948,-2.12800,-3.97600
-0.02041600086,-2.29600,-3.97600
-0.02041400038,-2.29600,-3.92000
-0.02041199990,-2.35200,-3.92000
-0.02040999942,-2.46400,-3.92000
-0.02040800080,-2.46400,-3.92000
-0.02040600032,-2.52000,-3.80800
-0.02040399984,-2.63200,-3.75200
-0.02040199935,-2.63200,-3.69600
-0.02040000074,-2.68800,-3.69600
-0.02039800026,-2.80000,-3.58400
-0.02039599977,-2.85600,-3.58400
-0.02039399929,-2.91200,-3.58400
-0.02039200068,-2.91200,-3.52800
-0.02039000019,-2.91200,-3.41600
-0.02038799971,-3.02400,-3.36000
-0.02038599923,-3.08000,-3.24800
-0.02038400061,-3.08000,-3.24800
-0.02038200013,-3.24800,-3.24800
-0.02037999965,-3.24800,-3.19200
-0.02037799917,-3.36000,-3.19200
-0.02037600055,-3.41600,-3.08000
-0.02037400007,-3.41600,-3.02400
-0.02037199959,-3.47200,-2.91200
-0.02036999911,-3.58400,-2.91200
-0.02036800049,-3.58400,-2.85600
-0.02036600001,-3.64000,-2.85600
-0.02036399953,-3.75200,-2.80000
-0.02036199905,-3.75200,-2.80000
-0.02036000043,-3.80800,-2.68800
-0.02035799995,-3.92000,-2.63200
-0.02035599947,-3.97600,-2.63200
-0.02035400085,-3.97600,-2.52000
-0.02035200037,-3.97600,-2.52000
-0.02034999989,-4.03200,-2.35200
-0.02034799941,-4.03200,-2.35200
-0.02034600079,-4.20000,-2.29600
-0.02034400031,-4.20000,-2.29600
-0.02034199983,-4.20000,-2.18400
-0.02033999935,-4.20000,-2.12800
-0.02033800073,-4.36800,-2.01600
-0.02033600025,-4.36800,-1.96000
-0.02033399977,-4.36800,-1.96000
-0.02033199929,-4.48000,-1.90400
-0.02033000067,-4.48000,-1.79200
-0.02032800019,-4.53600,-1.79200
-0.02032599971,-4.53600,-1.73600
-0.02032399923,-4.59200,-1.62400
-0.02032200061,-4.59200,-1.62400
-0.02032000013,-4.70400,-1.56800
-0.02031799965,-4.70400,-1.45600
-0.02031599917,-4.59200,-1.40000
-0.02031400055,-4.70400,-1.28800
-0.02031200007,-4.59200,-1.28800
-0.02030999959,-4.59200,-1.23200
-0.02030799910,-4.59200,-1.23200
-0.02030600049,-4.59200,-1.06400
-0.02030400001,-4.59200,-0.95200
-0.02030199952,-4.59200,-0.95200
-0.02029999904,-4.59200,-0.95200
-0.02029800043,-4.59200,-0.89600
-0.02029599994,-4.59200,-0.84000
-0.02029399946,-4.59200,-0.72800
-0.02029200085,-4.59200,-0.67200
-0.02029000036,-4.59200,-0.56000
-0.02028799988,-4.59200,-0.50400
-0.02028599940,-4.59200,-0.50400
-0.02028400078,-4.59200,-0.33600
-0.02028200030,-4.59200,-0.33600
-0.02027999982,-4.59200,-0.33600
-0.02027799934,-4.59200,-0.16800
-0.02027600072,-4.59200,-0.16800
-0.02027400024,-4.59200,-0.05600
-0.02027199976,-4.59200,0.00
-0.02026999928,-4.59200,0.00
-0.02026800066,-4.59200,0.05600
-0.02026600018,-4.59200,0.16800
-0.02026399970,-4.59200,0.22400
-0.02026199922,-4.59200,0.33600
-0.02026000060,-4.59200,0.33600
-0.02025800012,-4.59200,0.39200
-0.02025599964,-4.53600,0.50400
-0.02025399916,-4.59200,0.56000
-0.02025200054,-4.53600,0.67200
-0.02025000006,-4.59200,0.67200
-0.02024799958,-4.59200,0.72800
-0.02024599910,-4.59200,0.84000
-0.02024400048,-4.59200,0.89600
-0.02024200000,-4.59200,0.89600
-0.02023999952,-4.59200,0.95200
-0.02023799904,-4.59200,1.06400
-0.02023600042,-4.59200,1.12000
-0.02023399994,-4.59200,1.23200
-0.02023199946,-4.53600,1.23200
-0.02023000084,-4.59200,1.28800
-0.02022800036,-4.59200,1.28800
-0.02022599988,-4.59200,1.40000
-0.02022399940,-4.59200,1.45600
-0.02022200078,-4.59200,1.56800
-0.02022000030,-4.59200,1.62400
-0.02021799982,-4.59200,1.62400
-0.02021599934,-4.59200,1.73600
-0.02021400072,-4.59200,1.79200
-0.02021200024,-4.53600,1.79200
-0.02020999976,-4.53600,1.90400
-0.02020799927,-4.59200,1.96000
-0.02020600066,-4.59200,2.01600
-0.02020400017,-4.59200,2.12800
-0.02020199969,-4.59200,2.12800
-0.02019999921,-4.53600,2.18400
-0.02019800059,-4.53600,2.29600
-0.02019600011,-4.59200,2.29600
-0.02019399963,-4.59200,2.35200
-0.02019199915,-4.59200,2.46400
-0.02019000053,-4.53600,2.46400
-0.02018800005,-4.53600,2.52000
-0.02018599957,-4.53600,2.63200
-0.02018399909,-4.59200,2.63200
-0.02018200047,-4.59200,2.68800
-0.02017999999,-4.59200,2.80000
-0.02017799951,-4.59200,2.80000
-0.02017599903,-4.59200,2.91200
-0.02017400041,-4.53600,2.91200
-0.02017199993,-4.59200,2.91200
-0.02016999945,-4.59200,3.02400
-0.02016800083,-4.59200,3.08000
-0.02016600035,-4.59200,3.08000
-0.02016399987,-4.53600,3.19200
-0.02016199939,-4.53600,3.24800
-0.02016000077,-4.59200,3.24800
-0.02015800029,-4.59200,3.41600
-0.02015599981,-4.59200,3.41600
-0.02015399933,-4.59200,3.41600
-0.02015200071,-4.59200,3.52800
-0.02015000023,-4.59200,3.58400
-0.02014799975,-4.59200,3.58400
-0.02014599927,-4.59200,3.58400
-0.02014400065,-4.59200,3.69600
-0.02014200017,-4.59200,3.69600
-0.02013999969,-4.53600,3.75200
-0.02013799921,-4.48000,3.80800
-0.02013600059,-4.48000,3.80800
-0.02013400011,-4.36800,3.92000
-0.02013199963,-4.36800,3.92000
-0.02012999915,-4.31200,3.92000
-0.02012800053,-4.20000,3.97600
-0.02012600005,-4.20000,4.08800
-0.02012399957,-4.20000,4.08800
-0.02012199908,-4.14400,4.08800
-0.02012000047,-4.03200,4.14400
-0.02011799999,-4.03200,4.25600
-0.02011599950,-3.97600,4.25600
-0.02011399902,-3.92000,4.25600
-0.02011200041,-3.92000,4.31200
-0.02010999992,-3.92000,4.31200
-0.02010799944,-3.80800,4.31200
-0.02010600083,-3.75200,4.42400
-0.02010400034,-3.75200,4.42400
-0.02010199986,-3.64000,4.48000
-0.02009999938,-3.58400,4.59200
-0.02009800076,-3.58400,4.59200
-0.02009600028,-3.47200,4.59200
-0.02009399980,-3.41600,4.64800
-0.02009199932,-3.36000,4.64800
-0.02009000070,-3.36000,4.64800
-0.02008800022,-3.24800,4.76000
-0.02008599974,-3.24800,4.76000
-0.02008399926,-3.19200,4.76000
-0.02008200064,-3.08000,4.81600
-0.02008000016,-3.08000,4.76000
-0.02007799968,-3.02400,4.87200
-0.02007599920,-2.91200,4.87200
-0.02007400058,-2.85600,4.87200
-0.02007200010,-2.85600,4.87200
-0.02006999962,-2.80000,4.87200
-0.02006799914,-2.68800,4.87200
-0.02006600052,-2.63200,4.87200
-0.02006400004,-2.63200,4.98400
-0.02006199956,-2.52000,4.98400
-0.02005999908,-2.46400,5.04000
-0.02005800046,-2.35200,5.04000
-0.02005599998,-2.35200,5.04000
-0.02005399950,-2.29600,5.04000
-0.02005200088,-2.24000,5.04000
-0.02005000040,-2.12800,5.15200
-0.02004799992,-2.07200,5.04000
-0.02004599944,-1.96000,5.15200
-0.02004400082,-1.96000,5.15200
-0.02004200034,-1.79200,5.15200
-0.02003999986,-1.73600,5.15200
-0.02003799938,-1.79200,5.15200
-0.02003600076,-1.68000,5.15200
-0.02003400028,-1.68000,5.20800
-0.02003199980,-1.56800,5.20800
-0.02002999932,-1.40000,5.15200
-0.02002800070,-1.40000,5.20800
-0.02002600022,-1.34400,5.20800
-0.02002399974,-1.34400,5.15200
-0.02002199925,-1.17600,5.20800
-0.02002000064,-1.12000,5.20800
-0.02001800016,-1.00800,5.20800
-0.02001599967,-1.00800,5.20800
-0.02001399919,-1.00800,5.20800
-0.02001200058,-0.95200,5.20800
-0.02001000009,-0.78400,5.20800
-0.02000799961,-0.67200,5.20800
-0.02000599913,-0.67200,5.20800
-0.02000400051,-0.61600,5.20800
-0.02000200003,-0.56000,5.15200
-0.01999999955,-0.39200,5.15200
-0.01999799907,-0.39200,5.15200
-0.01999600045,-0.39200,5.15200
-0.01999399997,-0.22400,5.15200
-0.01999199949,-0.22400,5.15200
-0.01999000087,-0.11200,5.15200
-0.01998800039,-0.05600,5.04000
-0.01998599991,0.00,5.04000
-0.01998399943,0.00,5.04000
-0.01998200081,0.11200,5.04000
-0.01998000033,0.28000,4.98400
-0.01997799985,0.28000,4.98400
-0.01997599937,0.28000,4.98400
-0.01997400075,0.44800,4.98400
-0.01997200027,0.50400,4.98400
-0.01996999979,0.56000,4.98400
-0.01996799931,0.56000,4.87200
-0.01996600069,0.72800,4.87200
-0.01996400021,0.84000,4.87200
-0.01996199973,0.84000,4.87200
-0.01995999925,0.89600,4.87200
-0.01995800063,1.06400,4.81600
-0.01995600015,1.12000,4.81600
-0.01995399967,1.12000,4.81600
-0.01995199919,1.23200,4.76000
-0.01995000057,1.23200,4.76000
-0.01994800009,1.28800,4.76000
-0.01994599961,1.40000,4.64800
-0.01994399913,1.45600,4.64800
-0.01994200051,1.56800,4.64800
-0.01994000003,1.62400,4.59200
-0.01993799955,1.68000,4.59200
-0.01993599907,1.79200,4.59200
-0.01993400045,1.84800,4.59200
-0.01993199997,1.84800,4.59200
-0.01992999949,1.96000,4.42400
-0.01992800087,1.96000,4.42400
-0.01992600039,2.01600,4.31200
-0.01992399991,2.18400,4.25600
-0.01992199942,2.18400,4.31200
-0.01992000081,2.24000,4.25600
-0.01991800033,2.35200,4.25600
-0.01991599984,2.40800,4.14400
-0.01991399936,2.40800,4.14400
-0.01991200075,2.52000,4.08800
-0.01991000026,2.57600,4.08800
-0.01990799978,2.68800,3.97600
-0.01990599930,2.68800,3.92000
-0.01990400068,2.74400,3.92000
-0.01990200020,2.80000,3.92000
-0.01989999972,2.80000,3.92000
-0.01989799924,2.91200,3.80800
-0.01989600062,2.96800,3.75200
-0.01989400014,3.08000,3.75200
-0.01989199966,3.13600,3.69600
-0.01988999918,3.13600,3.58400
-0.01988800056,3.24800,3.58400
-0.01988600008,3.30400,3.58400
-0.01988399960,3.30400,3.52800
-0.01988199912,3.47200,3.41600
-0.01988000050,3.47200,3.41600
-0.01987800002,3.52800,3.36000
-0.01987599954,3.52800,3.24800
-0.01987399906,3.64000,3.24800
-0.01987200044,3.69600,3.19200
-0.01986999996,3.69600,3.08000
-0.01986799948,3.80800,3.08000
-0.01986600086,3.80800,2.91200
-0.01986400038,3.86400,2.91200
-0.01986199990,3.92000,2.91200
-0.01985999942,3.92000,2.91200
-0.01985800080,4.03200,2.85600
-0.01985600032,4.03200,2.80000
-0.01985399984,4.08800,2.68800
-0.01985199936,4.08800,2.68800
-0.01985000074,4.20000,2.63200
-0.01984800026,4.20000,2.52000
-0.01984599978,4.25600,2.46400
-0.01984399930,4.36800,2.46400
-0.01984200068,4.36800,2.35200
-0.01984000020,4.36800,2.29600
-0.01983799972,4.36800,2.29600
-0.01983599924,4.42400,2.18400
-0.01983400062,4.42400,2.18400
-0.01983200014,4.42400,2.01600
-0.01982999966,4.42400,2.01600
-0.01982799917,4.42400,1.96000
-0.01982600056,4.48000,1.96000
-0.01982400008,4.42400,1.90400
-0.01982199959,4.42400,1.79200
-0.01981999911,4.48000,1.73600
-0.01981800050,4.42400,1.62400
-0.01981600001,4.48000,1.62400
-0.01981399953,4.42400,1.56800
-0.01981199905,4.42400,1.45600
-0.01981000043,4.48000,1.40000
-0.01980799995,4.42400,1.28800
-0.01980599947,4.42400,1.28800
-0.01980400085,4.48000,1.28800
-0.01980200037,4.42400,1.12000
-0.01979999989,4.42400,1.12000
-0.01979799941,4.42400,1.06400
-0.01979600079,4.42400,0.95200
-0.01979400031,4.48000,0.95200
-0.01979199983,4.42400,0.89600
-0.01978999935,4.42400,0.84000
-0.01978800073,4.42400,0.72800
-0.01978600025,4.42400,0.67200
-0.01978399977,4.42400,0.67200
-0.01978199929,4.42400,0.67200
-0.01978000067,4.42400,0.50400
-0.01977800019,4.42400,0.39200
-0.01977599971,4.48000,0.33600
-0.01977399923,4.42400,0.33600
-0.01977200061,4.42400,0.22400
-0.01977000013,4.48000,0.16800
-0.01976799965,4.48000,0.05600
-0.01976599917,4.48000,0.00
-0.01976400055,4.42400,0.00
-0.01976200007,4.42400,-0.05600
-0.01975999959,4.42400,-0.16800
-0.01975799911,4.48000,-0.22400
-0.01975600049,4.42400,-0.22400
-0.01975400001,4.42400,-0.33600
-0.01975199953,4.42400,-0.33600
-0.01974999905,4.48000,-0.50400
-0.01974800043,4.42400,-0.56000
-0.01974599995,4.42400,-0.56000
-0.01974399947,4.42400,-0.67200
-0.01974200085,4.42400,-0.72800
-0.01974000037,4.42400,-0.72800
-0.01973799989,4.42400,-0.84000
-0.01973599941,4.42400,-0.89600
-0.01973400079,4.42400,-0.95200
-0.01973200031,4.42400,-1.06400
-0.01972999983,4.42400,-1.06400
-0.01972799934,4.42400,-1.12000
-0.01972600073,4.48000,-1.23200
-0.01972400025,4.42400,-1.23200
-0.01972199976,4.42400,-1.28800
-0.01971999928,4.48000,-1.28800
-0.01971800067,4.42400,-1.45600
-0.01971600018,4.42400,-1.56800
-0.01971399970,4.48000,-1.56800
-0.01971199922,4.42400,-1.62400
-0.01971000060,4.42400,-1.73600
-0.01970800012,4.48000,-1.73600
-0.01970599964,4.42400,-1.79200
